horbo|buffalo
partangiangan|pray
marsipature|build
denggan|good
bana|very
bagak|brave
ro|come
tudos|sit
mamora|rich
songon|like
anggo|if
ai|yes
ise|who
na|that
asa|so that
boasa|why
mauliate|thank you
sude|all
dang|not
rap|together
mangido|ask
manjalo|receive
mangallang|eat
inum|drink
marsada|healthy
marhaha|friendly
tangiang|prayer
poda|advice
pudun|go down
tarhilala|bad luck
roham|your heart
patar|send
mambuat|create
mamboto|smart
manghatai|say
pahala|reward
marhite|through
pature|arrange
ulahon|do
martangiang|worship
mamisa|separate
tading|ready
paima|give
malim|religious
halak|person
boru|girl
paturehon|arrange
manang|or
mate|dead
molo|if
rapat|meeting
marsurung|push
sude|all
hauma|rice field
jabu|house
ombus|wind
manjalo|get
tarida|visible
ulaon|work
pature|organize
margogo|walk
marsala|quarrel
mangihut|follow
parpangir|unity
parngolu|life
parjolo|first
nunga|already
tangkas|clever
panggabean|descendant
siboru|daughter
sibohi|sibling
sibatak|batak
toba|toba
simalungun|simalungun
pakpak|pakpak
angkola|angkola
mandailing|mandailing
balga|big
jolo|first
songonon|as like
marsibopar|siblinghood
roha|heart
halak hita|our people
ujung|end
jolo|first
parhorbo|buffalo keeper
bagas|house
begu|ghost
manjalo|accept
jaha|far
tampul|cheek
jambur|hall
pulu|island
parluasan|area
tarida|see
tading|stand
boru|girl
hauma|rice field
poda|advice
marsipature|develop
